# Program:featureCounts v1.5.1; Command:"featureCounts" "-a" "cufflinks_assemble/star/merged.gtf" "-t" "exon" "-s" "2" "-p" "-B" "-C" "-T" "24" "-o" "cufflinks_counts/star/feature_counts.tsv" "align/star/inplanta-3KO-020.bam" "align/star/inplanta-3KO-021.bam" "align/star/inplanta-3KO-022.bam" "align/star/inplanta-3KO-023.bam" "align/star/inplanta-Pf2-024.bam" "align/star/inplanta-Pf2-025.bam" "align/star/inplanta-Pf2-026.bam" "align/star/inplanta-Pf2-027.bam" "align/star/inplanta-SN15-016.bam" "align/star/inplanta-SN15-017.bam" "align/star/inplanta-SN15-018.bam" "align/star/inplanta-SN15-019.bam" "align/star/invitro-3KO-004.bam" "align/star/invitro-3KO-005.bam" "align/star/invitro-3KO-006.bam" "align/star/invitro-3KO-007.bam" "align/star/invitro-Pf2-008.bam" "align/star/invitro-Pf2-009.bam" "align/star/invitro-Pf2-010.bam" "align/star/invitro-Pf2-011.bam" "align/star/invitro-SN15-000.bam" "align/star/invitro-SN15-001.bam" "align/star/invitro-SN15-002.bam" "align/star/invitro-SN15-003.bam" 
Geneid	Chr	Start	End	Strand	Length	align/star/inplanta-3KO-020.bam	align/star/inplanta-3KO-021.bam	align/star/inplanta-3KO-022.bam	align/star/inplanta-3KO-023.bam	align/star/inplanta-Pf2-024.bam	align/star/inplanta-Pf2-025.bam	align/star/inplanta-Pf2-026.bam	align/star/inplanta-Pf2-027.bam	align/star/inplanta-SN15-016.bam	align/star/inplanta-SN15-017.bam	align/star/inplanta-SN15-018.bam	align/star/inplanta-SN15-019.bam	align/star/invitro-3KO-004.bam	align/star/invitro-3KO-005.bam	align/star/invitro-3KO-006.bam	align/star/invitro-3KO-007.bam	align/star/invitro-Pf2-008.bam	align/star/invitro-Pf2-009.bam	align/star/invitro-Pf2-010.bam	align/star/invitro-Pf2-011.bam	align/star/invitro-SN15-000.bam	align/star/invitro-SN15-001.bam	align/star/invitro-SN15-002.bam	align/star/invitro-SN15-003.bam
XLOC_000001	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	21768;22223;23496;23606;23639	22147;23489;23522;24771;24771	+;+;+;+;+	2840	595	568	969	639	292	120	267	182	1792	2097	2308	1830	10	8	5	6	9	7	11	14	6	9	5	3
XLOC_000002	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	29738;29864;30385;30385;31862	30336;30336;33743;31291;32914	+;+;+;+;+	3958	174	247	339	296	144	159	172	89	706	577	511	599	358	388	296	302	437	438	439	454	338	333	375	309
XLOC_000003	scaffold_001;scaffold_001;scaffold_001	44832;46430;47401	46370;47275;48519	+;+;+	3504	126	144	169	154	42	69	78	54	387	511	408	419	168	285	152	162	142	93	118	104	215	215	238	153
XLOC_000004	scaffold_001;scaffold_001;scaffold_001	61921;63351;63641	63288;63592;64916	+;+;+	2886	164	200	293	218	101	154	158	76	571	449	528	509	241	286	218	201	157	188	154	180	181	178	199	169
XLOC_000005	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	65517;65958;66682;66682;67102;67134;68051;68051	66631;66631;67048;67080;67998;67998;68393;68478	+;+;+;+;+;+;+;+	2839	2579	2709	4789	3464	797	726	1087	663	8951	8077	10121	9364	862	837	738	754	995	996	972	888	657	634	601	544
XLOC_000006	scaffold_001;scaffold_001	71476;71626	71556;74440	+;+	2896	940	979	1295	953	346	468	604	439	2031	1779	1514	1894	1544	1583	1358	1224	1191	789	1159	862	1640	1596	1592	1408
XLOC_000007	scaffold_001	77495	80138	+	2644	875	801	757	796	579	788	827	754	2442	1558	1329	1782	4297	4621	4378	3370	1087	633	1032	1189	5514	6381	4012	3640
XLOC_000008	scaffold_001;scaffold_001	89662;89789	89725;91480	+;+	1756	34	53	57	49	30	42	45	18	90	98	78	93	70	68	61	45	57	67	42	52	46	70	47	44
XLOC_000009	scaffold_001;scaffold_001;scaffold_001;scaffold_001	102292;103450;103671;103895	103386;103619;103847;104284	+;+;+;+	1832	587	643	845	623	142	261	255	231	1105	1252	1274	1656	396	951	383	778	507	239	299	292	656	536	779	559
XLOC_000010	scaffold_001	106564	107507	+	944	0	0	0	0	0	0	0	0	1	0	1	0	8	7	7	10	13	4	5	3	9	20	11	11
